objectID,post_title,url,ingredient,label,quantity,type,section,label_zone,label_qte,label_unite,label_unite_gr,section_zone,section_qte,section_unite,aliment,kcal_100gr,quantity_gr,quantity_kcal,label_qte_gr,proteine_100gr,glucides_100gr,calcium_100gr,quantity_calcium
cocktail_414,Sangria-Nanas,https://1ou2cocktails.com/cocktails/sangria-nanas/,"<p>(1 bouteille) de vin blanc</p>
",,26,ingredient,,,,,,,4,,"Oeuf, blanc (blanc d'oeuf), cru","48,1","184,2725",,,"10,8","0,85",6,"11,06"
cocktail_414,Sangria-Nanas,https://1ou2cocktails.com/cocktails/sangria-nanas/,"<p>de rhum blanc</p>
",,3,ingredient,,,,,,,4,,"Oeuf, blanc (blanc d'oeuf), cru","48,1","21,2625",,,"10,8","0,85",6,"1,28"
cocktail_414,Sangria-Nanas,https://1ou2cocktails.com/cocktails/sangria-nanas/,"<p>de jus dananas</p>
",,12,ingredient,,,,,,,4,,"Ananas, pulpe, cru","54,4","85,0475",,,,"11,7",8,"6,8"
cocktail_414,Sangria-Nanas,https://1ou2cocktails.com/cocktails/sangria-nanas/,,"<p>½ tasse de cubes de melon deau</p>
",,ingredient,,½ tasse de cubes de melon deau,"0,5",tasse,250,,4,,,,"31,25",,125,,,,
cocktail_414,Sangria-Nanas,https://1ou2cocktails.com/cocktails/sangria-nanas/,,"<p>8 feuilles de menthe</p>
",,ingredient,,8 feuilles de menthe,8,feuille,5,,4,,,,10,,40,,,,
cocktail_414,Sangria-Nanas,https://1ou2cocktails.com/cocktails/sangria-nanas/,,"<p>8 feuilles de basilic</p>
",,ingredient,,8 feuilles de basilic,8,feuille,5,,4,,,,10,,40,,,,
cocktail_414,Sangria-Nanas,https://1ou2cocktails.com/cocktails/sangria-nanas/,"<p>de soda au gingembre, Ginger Ale</p>
",,12,ingredient,,,,,,,4,,Gin,265,"85,0475",,,0,0,0,0
cocktail_414,Sangria-Nanas,https://1ou2cocktails.com/cocktails/sangria-nanas/,,,,section,Garniture,,,,,,4,,,,,,,,,,
cocktail_414,Sangria-Nanas,https://1ou2cocktails.com/cocktails/sangria-nanas/,,"<p>Feuilles dananas (pour les verres)</p>
",,ingredient,,,,verre,250,,4,,,,,,,,,,
cocktail_418,Le Prince-Édouard,https://1ou2cocktails.com/cocktails/le-prince-edouard/,"<p>de vodka</p>
",,1,section,Pour 1 verre,,,,,1 verre,1,verre,Vodka,242,"28,35",,,0,0,0,0
cocktail_418,Le Prince-Édouard,https://1ou2cocktails.com/cocktails/le-prince-edouard/,"<p>de liqueur amère, Campari</p>
",,"0,25",ingredient,,,,,,,1,,Apéritif à base de vin ou vermouth,,"7,09",,,"0,054","11,3","7,37","0,52"
cocktail_418,Le Prince-Édouard,https://1ou2cocktails.com/cocktails/le-prince-edouard/,"<p>de jus de citron frais</p>
",,"0,75",ingredient,,,,,,,1,,"Citron, pulpe, cru","27,6","21,26",,,,"1,56",11,"2,34"
cocktail_418,Le Prince-Édouard,https://1ou2cocktails.com/cocktails/le-prince-edouard/,"<p>de sirop simple</p>
",,"0,5",ingredient,,,,,,,1,,"Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau",,"14,17",,,"0,055","7,7","7,55","1,07"
