Category,Nutrient,Target population,Age,Gender,AI,AR,PRI,RI,UL,Safe and adequate intake,Years,PAL
Energy,Energy,Children,12 years PAL=1.8,Female,NA ,2245.0020000000004,NA. ,NA ,NA ,,12,1.8
Energy,Energy,Children,12 years PAL=2.0,Female,NA ,2507.715,NA. ,NA ,NA ,,12,2.0
Energy,Energy,Children,13 years PAL=1.6,Female,NA ,2101.704,NA. ,NA ,NA ,,13,1.6
Energy,Energy,Children,13 years PAL=1.8,Female,NA ,2364.4170000000004,NA. ,NA ,NA ,,13,1.8
Energy,Energy,Children,13 years PAL=2.0,Female,NA ,2627.13,NA. ,NA ,NA ,,13,2.0
Energy,Energy,Children,14 years PAL=1.6,Female,NA ,2173.353,NA. ,NA ,NA ,,14,1.6
Energy,Energy,Children,14 years PAL=1.8,Female,NA ,2436.066,NA. ,NA ,NA ,,14,1.8
Energy,Energy,Children,14 years PAL=2.0,Female,NA ,2722.6620000000003,NA. ,NA ,NA ,,14,2.0
Energy,Energy,Children,15 years PAL=1.6,Female,NA ,2221.119,NA. ,NA ,NA ,,15,1.6
Energy,Energy,Children,15 years PAL=1.8,Female,NA ,2507.715,NA. ,NA ,NA ,,15,1.8
Energy,Energy,Children,15 years PAL=2.0,Female,NA ,2794.311,NA. ,NA ,NA ,,15,2.0
Energy,Energy,Children,16 years PAL=1.6,Female,NA ,2268.885,NA. ,NA ,NA ,,16,1.6
Energy,Energy,Children,16 years PAL=1.8,Female,NA ,2531.598,NA. ,NA ,NA ,,16,1.8
Energy,Energy,Children,16 years PAL=2.0,Female,NA ,2818.1940000000004,NA. ,NA ,NA ,,16,2.0
Energy,Energy,Children,17 years PAL=1.6,Female,NA ,2268.885,NA. ,NA ,NA ,,17,1.6
Energy,Energy,Children,17 years PAL=1.8,Female,NA ,2555.4809999999998,NA. ,NA ,NA ,,17,1.8
Energy,Energy,Children,17 years PAL=2.0,Female,NA ,2842.077,NA. ,NA ,NA ,,17,2.0
Energy,Energy,Adults,18–29 years PAL=1.4,Male,NA ,2340.534,NA. ,NA ,NA ,,18–29,1.4
Energy,Energy,Adults,18–29 years PAL=1.6,Male,NA ,2674.896,NA. ,NA ,NA ,,18–29,1.6
Energy,Energy,Adults,18–29 years PAL=1.8,Male,NA ,3009.2580000000003,NA. ,NA ,NA ,,18–29,1.8
Energy,Energy,Adults,18–29 years PAL=2.0,Male,NA ,3343.6200000000003,NA. ,NA ,NA ,,18–29,2.0
Energy,Energy,Adults,30–39 years PAL=1.4,Male,NA ,2268.885,NA. ,NA ,NA ,,30–39,1.4
Energy,Energy,Adults,30–39 years PAL=1.6,Male,NA ,2579.3640000000005,NA. ,NA ,NA ,,30–39,1.6
Energy,Energy,Adults,30–39 years PAL=1.8,Male,NA ,2913.726,NA. ,NA ,NA ,,30–39,1.8
Energy,Energy,Adults,30–39 years PAL=2.0,Male,NA ,3224.2050000000004,NA. ,NA ,NA ,,30–39,2.0
Energy,Energy,Adults,40–49 year PAL=1.4,Male,NA ,2221.119,NA. ,NA ,NA ,,40–49,1.4
Energy,Energy,Adults,40–49 year PAL=1.6,Male,NA ,2555.4809999999998,NA. ,NA ,NA ,,40–49,1.6
Energy,Energy,Adults,40–49 year PAL=1.8,Male,NA ,2865.96,NA. ,NA ,NA ,,40–49,1.8
Energy,Energy,Adults,40–49 years PAL=2.0,Male,NA ,3200.322,NA. ,NA ,NA ,,40–49,2.0
Energy,Energy,Adults,50–59 years PAL=1.4,Male,NA ,2197.236,NA. ,NA ,NA ,,50–59,1.4
Energy,Energy,Adults,50–59 years PAL=1.6,Male,NA ,2507.715,NA. ,NA ,NA ,,50–59,1.6
Energy,Energy,Adults,50–59 years PAL=1.8,Male,NA ,2842.077,NA. ,NA ,NA ,,50–59,1.8
Energy,Energy,Adults,50–59 years PAL=2.0,Male,NA ,3152.556,NA. ,NA ,NA ,,50–59,2.0
Energy,Energy,Adults,60–69 years PAL=1.4,Male,NA ,2006.1720000000003,NA. ,NA ,NA ,,60–69,1.4
Energy,Energy,Adults,60–69 years PAL=1.6,Male,NA ,2292.768,NA. ,NA ,NA ,,60–69,1.6
Energy,Energy,Adults,60–69 years PAL=1.8,Male,NA ,2603.2470000000003,NA. ,NA ,NA ,,60–69,1.8
Energy,Energy,Adults,60–69 years PAL=2.0,Male,NA ,2889.843,NA. ,NA ,NA ,,60–69,2.0
Energy,Energy,Adults,70–79 years PAL=1.4,Male,NA ,1982.2890000000002,NA. ,NA ,NA ,,70–79,1.4
Energy,Energy,Adults,70–79 years PAL=1.6,Male,NA ,2268.885,NA. ,NA ,NA ,,70–79,1.6
Energy,Energy,Adults,70–79 years PAL=1.8,Male,NA ,2555.4809999999998,NA. ,NA ,NA ,,70–79,1.8
Energy,Energy,Adults,70–79 years PAL=2.0,Male,NA ,2842.077,NA. ,NA ,NA ,,70–79,2.0
Energy,Energy,Adults,18–29 years PAL=1.4,Female,NA ,1886.7570000000003,NA. ,NA ,NA ,,18–29,1.4
Energy,Energy,Adults,18–29 years PAL=1.6,Female,NA ,2149.4700000000003,NA. ,NA ,NA ,,18–29,1.6
Energy,Energy,Adults,18–29 years PAL=1.8,Female,NA ,2412.183,NA. ,NA ,NA ,,18–29,1.8
Energy,Energy,Adults,18–29 years PAL=2.0,Female,NA ,2674.896,NA. ,NA ,NA ,,18–29,2.0
Energy,Energy,Adults,30–39 years PAL=1.4,Female,NA ,1815.108,NA. ,NA ,NA ,,30–39,1.4
Energy,Energy,Adults,30–39 years PAL=1.6,Female,NA ,2077.821,NA. ,NA ,NA ,,30–39,1.6
