           objectID                                                     post_title                                                                                                 url  quantity_kcal_total
1514  cocktail_1218                                           Long Island Iced Tea                                           https://1ou2cocktails.com/cocktails/long-island-iced-tea/               135.87
1526  cocktail_1223                               Paloma rhum agricole et cannelle                               https://1ou2cocktails.com/cocktails/paloma-rhum-agricole-et-cannelle/               143.28
1533  cocktail_1345                                                Unicorn Collins                                                https://1ou2cocktails.com/cocktails/unicorn-collins/               118.55
1540  cocktail_1087                              Vin blanc chaud pomme et cannelle                              https://1ou2cocktails.com/cocktails/vin-blanc-chaud-pomme-et-cannelle/                88.64
1547  cocktail_1083  Cocktail à la crème écossaise et au yogourt à la noix de coco  https://1ou2cocktails.com/cocktails/cocktail-a-la-creme-ecossaise-et-au-yogourt-a-la-noix-de-coco/                75.73
1554  cocktail_1078                            Apéritif italien Café et Canneberge                   https://1ou2cocktails.com/cocktails/aperitif-italien-cafe-et-kombucha-canneberge/                71.19
1561  cocktail_1242              Cocktail à la tequila, aux agrumes et au prosecco               https://1ou2cocktails.com/cocktails/cocktail-a-la-tequila-aux-agrumes-et-au-prosecco/               112.68
1570  cocktail_1075                                        Sour vodka et framboise                                           https://1ou2cocktails.com/cocktails/sour-vodka-framboise/               102.90
1579  cocktail_1070                                            Casse-Grippe au Gin                                            https://1ou2cocktails.com/cocktails/casse-grippe-au-gin/               225.36
1585  cocktail_1246                                         Tisane Gin & Camomille                    https://1ou2cocktails.com/cocktails/tisane-gin-camomille-pour-les-maux-de-gorge/                75.13
1593  cocktail_1111                                                   Ponce de gin                                                   https://1ou2cocktails.com/cocktails/ponce-de-gin/               120.50
1601  cocktail_3241                                 Spritz au Pineau des Charentes                                 https://1ou2cocktails.com/cocktails/spritz-au-pineau-des-charentes/               185.98
1608  cocktail_3220                                                   Pineau Tonic                                                   https://1ou2cocktails.com/cocktails/pineau-tonic/                 0.00
1614  cocktail_3237                                Negroni au Pineau des Charentes                                https://1ou2cocktails.com/cocktails/negroni-au-pineau-des-charentes/                75.13
1620  cocktail_1255                                             Bee's Knees 3 Lacs                                              https://1ou2cocktails.com/cocktails/bees-knees-3-lacs/               123.02
1628  cocktail_3231                                               Sour à la cerise                                               https://1ou2cocktails.com/cocktails/sour-a-la-cerise/                64.48
1636  cocktail_1045                                                   High & Honey                                                     https://1ou2cocktails.com/cocktails/high-honey/               161.45
1643  cocktail_1039                                           Gingerbread Cocktail                                           https://1ou2cocktails.com/cocktails/gingerbread-cocktail/               134.36
1656  cocktail_1200                                         Sbagliato Bitter Sweet                                         https://1ou2cocktails.com/cocktails/sbagliato-bitter-sweet/               371.95
