objectID,post_title,url,quantity_kcal_total,quantity_proteine_total,quantity_eau_total,quantity_calcium_total,quantity_magnésium_total,quantity_manganèse_total,quantity_potassium_total,quantity_sodium_total,quantity_vitamine B6_total,quantity_vitamine C_total,quantity_vitamine D_total,quantity_vitamine E_total
cocktail_4841,Michelangelo,https://1ou2cocktails.com/cocktails/michelangelo/,208.84,7.46,85.95,143.47,19.33,0.33,204.79,228.34,0.17,2.98,7.94,1.42
cocktail_4850,Basilic Sour,https://1ou2cocktails.com/cocktails/basilic-sour/,189.39,0.18,70.8,4.01,6.04,0.53,60.59,4.51,0.04,5.96,0.0,0.0
cocktail_4856,Spritz du Printemps,https://1ou2cocktails.com/cocktails/spritz-du-printemps/,258.96,0.03,103.05,4.970000000000001,5.159999999999999,0.06,59.29,5.01,0.0,0.0,0.0,0.0
cocktail_4862,Limonade Amaro,https://1ou2cocktails.com/cocktails/limonade-amaro/,342.93,0.33,119.48,6.81,11.09,0.8600000000000001,110.71,8.3,0.06999999999999999,9.92,0.0,0.01
cocktail_4866,Amermelade Spritz,https://1ou2cocktails.com/cocktails/amermelade-spritz/,269.31,0.04,102.97,4.74,5.42,0.06,61.13,5.07,0.0,0.0,0.0,0.0
cocktail_4899,Gin Mule Menthe et Concombre,https://1ou2cocktails.com/cocktails/gin-mule-menthe-et-concombre/,112.68,0.0,26.4,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0
cocktail_4822,Dill With It!,https://1ou2cocktails.com/cocktails/gin-tonic-cornichon-et-aneth/,151.64,0.08,41.85,4.61,1.63,0.0,8.51,49.98,0.0,0.0,0.0,0.03
cocktail_4809,Sour au limoncello,https://1ou2cocktails.com/cocktails/sour-au-limoncello/,243.27,0.12,61.42,2.38,3.91,0.28,39.94,4.56,0.02,2.98,0.0,0.0
cocktail_4786,Key Lime Pie au Dulce de Leche,https://1ou2cocktails.com/cocktails/key-lime-pie-au-dulce-de-leche/,169.1,1.05,58.62,32.81,2.84,0.01,38.6,19.42,0.02,0.06,0.03,0.03
cocktail_4773,Mimosa Pamplemousse,https://1ou2cocktails.com/cocktails/mimosa-pamplemousse/,59.98,0.46,197.43,17.21,23.7,1.46,247.56,8.74,0.12,15.88,0.0,0.02
cocktail_4764,Slush Banana Split Noisette,https://1ou2cocktails.com/cocktails/slush-banana-split-noisette/,94.95,3.54,79.63,114.95,10.69,0.03,146.56,53.27,0.04,0.67,0.17,0.11
cocktail_4757,Sour à la Pêche Sans Alcool,https://1ou2cocktails.com/cocktails/sour-a-la-peche-sans-alcool/,175.06,0.21,74.35,4.39,6.92,0.6000000000000001,68.89,4.390000000000001,0.05,6.95,0.0,0.01
cocktail_4283,Cocktail Bleu Festif,https://1ou2cocktails.com/cocktails/cocktail-bleu-festif/,159.16,0.01,31.44,0.14,0.43,0.0,4.25,1.88,0.0,0.0,0.0,0.0
cocktail_4278,Slush Gin Coco et Concombre,https://1ou2cocktails.com/cocktails/slush-gin-coco-et-concombre/,161.35,1.14,65.56,34.32,5.73,0.27,66.48,20.81,0.04,3.04,0.03,0.03
cocktail_4731,Sirop de Menthe fraîche,https://1ou2cocktails.com/cocktails/sirop-de-menthe-fraiche/,578.34,0.0,82.1,6.12,2.72,0.07,38.56,15.33,0.0,0.0,0.0,0.0
cocktail_4727,Cocktail Canadien à l'Érable,https://1ou2cocktails.com/cocktails/cocktail-canadien-a-lerable/,158.28,0.12,56.77,2.67,4.03,0.34,40.83,2.43,0.03,3.97,0.0,0.01
cocktail_4707,Rye Sour Framboise et Cidre,https://1ou2cocktails.com/cocktails/rye-sour-framboise-et-cidre/,176.36,0.12,59.34,2.86,4.12,0.35,42.03,2.91,0.03,3.97,0.0,0.01
cocktail_4687,Gin Old Fashioned Les Herbes Folles,https://1ou2cocktails.com/cocktails/les-herbes-folles-gin-old-fashioned/,150.26,0.0,40.55,0.52,0.5,0.0,3.4,2.19,0.0,0.0,0.0,0.0
cocktail_4679,Irish Coffee,https://1ou2cocktails.com/cocktails/irish-coffee/,226.98,4.2,184.54,134.07,19.16,0.12,279.82,77.71,0.69,0.23,0.11,0.11
cocktail_4672,Gin Tonic au Earl Grey,https://1ou2cocktails.com/cocktails/gin-tonic-au-earl-grey/,112.7,0.0,54.69,0.06,0.57,0.05,7.23,1.32,0.0,0.0,0.0,0.0
cocktail_4664,Chartreuse Sour,https://1ou2cocktails.com/cocktails/chartreuse-sour/,221.14,0.13,47.90000000000001,2.53,4.340000000000001,0.27,43.84,5.29,0.02,2.98,0.0,0.0
cocktail_4651,Sirop de Zeste,https://1ou2cocktails.com/cocktails/sirop-de-zeste/,519.37,0.0,152.57,9.5,3.74,0.01,32.89,7.19,0.0,0.0,0.0,0.0
cocktail_4647,Euphoria Cocktail,https://1ou2cocktails.com/cocktails/euphoria-cocktail/,144.09,0.6900000000000001,74.94,19.74,7.2,0.53,76.5,12.06,0.05,5.98,0.01,0.02
cocktail_4642,Céleri Midi,https://1ou2cocktails.com/cocktails/celeri-midi/,72.06,0.09,51.86,4.6,5.43,0.17,44.86,8.629999999999999,0.01,1.98,0.0,0.0
cocktail_4628,Amaretto Sour,https://1ou2cocktails.com/cocktails/amaretto-sour/,200.98,0.18,44.66,2.86,5.56,0.35,55.0,5.58,0.03,3.97,0.0,0.01
cocktail_4597,Paper Plane,https://1ou2cocktails.com/cocktails/paper-plane/,204.29,0.13,47.08,2.14,4.17,0.26,41.45999999999999,4.19,0.02,2.98,0.0,0.0
cocktail_4589,Hot Tea au Limoncello,https://1ou2cocktails.com/cocktails/hot-tea-limoncello/,139.61,0.12,243.98,2.0,6.42,0.46,80.55,7.4,0.01,0.11,0.0,0.0
cocktail_4574,Italian 75 à la Fraise,https://1ou2cocktails.com/cocktails/italian-75-a-la-fraise/,118.76,0.06,34.97,1.52,2.1,0.17,21.4,2.27,0.01,1.98,0.0,0.0
cocktail_4566,Mocktail à la Grenade,https://1ou2cocktails.com/cocktails/mocktail-a-la-grenade/,234.47,0.24,91.85,5.15,7.98,0.6900000000000001,79.59,5.51,0.06,7.94,0.0,0.02
cocktail_4559,Sour Aperol et Orange Sanguine,https://1ou2cocktails.com/cocktails/sour-aperol-et-orange-sanguine/,198.1,0.22,56.97,4.24,7.24,0.52,72.15,6.25,0.04,5.95,0.0,0.01
cocktail_4552,Fraisinette,https://1ou2cocktails.com/cocktails/fraisinette/,118.76,0.4,34.97,12.41,8.27,0.3100000000000001,108.14,5.58,0.03,27.87,0.0,0.19
cocktail_4549,Mojito Concombre et Gingembre S/A,https://1ou2cocktails.com/cocktails/mojito-concombre-et-gingembre-s-a/,69.21000000000001,0.12,32.17,2.86,4.12,0.35,41.6,2.91,0.03,3.97,0.0,0.01
cocktail_4527,Mocktail Vitaminé à l'Orange,https://1ou2cocktails.com/cocktails/mocktail-vitamine-a-lorange/,178.8,0.23,80.47,12.5,9.67,0.68,87.96,22174.46,0.05,7.93,0.0,0.01
cocktail_4523,Tom Collins au Concombre S/A,https://1ou2cocktails.com/cocktails/tom-collins-au-concombre-s-a/,181.89,0.12,58.57,2.86,4.12,0.35,41.6,3.76,0.03,3.97,0.0,0.01
cocktail_4520,Abricot Bene,https://1ou2cocktails.com/cocktails/abricot-bene/,154.47,0.16,39.61,2.72,5.14,0.35,50.75,4.55,0.03,3.97,0.0,0.01
cocktail_4504,Kir Royal du Verger,https://1ou2cocktails.com/cocktails/kir-royal-du-verger/,37.42,1.13,126.73,41.28,6.39,0.04,151.05,23.6,0.02,11.74,0.03,0.03
cocktail_4497,Peachy Espresso Martini,https://1ou2cocktails.com/cocktails/peachy-espresso-martini/,108.26,0.0,104.09,3.35,7.18,0.06,117.47,2.53,0.57,0.0,0.0,0.0
cocktail_4478,Tisane St-Germain et Camomille,https://1ou2cocktails.com/cocktails/tisane-st-germain-et-camomille/,612.35,0.07,163.52,1.97,1.15,0.02,15.76,4.62,0.01,0.06,0.0,0.0
cocktail_4469,Reese's Cocktail,https://1ou2cocktails.com/cocktails/reeses-cocktail/,75.81,2.1,55.48,65.81,6.97,0.04,97.24000000000001,38.09,0.13,0.11,0.06,0.06
cocktail_4462,Rhum Trinidad Sour et Orange Sanguine,https://1ou2cocktails.com/cocktails/rhum-trinidad-sour-et-orange-sanguine/,203.78,0.27,82.3,5.71,6.87,0.53,72.01,64.22,0.04,6.2,0.06,0.52
cocktail_4429,Spritz Aronia et Clémentine,https://1ou2cocktails.com/cocktails/spritz-aronia-et-clementine/,359.44,0.16,145.05,7.030000000000001,9.280000000000001,0.4,99.11999999999999,7.11,0.03,3.97,0.0,0.01
cocktail_4430,Punch des Fêtes Sans Alcool,https://1ou2cocktails.com/cocktails/punch-des-fetes-sans-alcool/,322.3,0.15,104.39,4.1,5.48,0.46,56.04,5.22,0.04,5.29,0.0,0.01
cocktail_4417,Whisky Sour à la Poire S/A,https://1ou2cocktails.com/cocktails/whisky-sour-a-la-poire-sans-alcool/,190.26,0.15,83.78,5.359999999999999,4.56,0.27,63.79,2.55,0.03,7.970000000000001,0.0,0.09
cocktail_4411,Cocktail Festif Gin et Canneberges,https://1ou2cocktails.com/cocktails/cocktail-festif-gin-et-canneberges/,182.55,0.26,86.57,5.54,8.84,0.77,87.88,5.13,0.06,8.93,0.0,0.01
cocktail_4388,Sour Gingembre et Ananas,https://1ou2cocktails.com/cocktails/sour-gingembre-et-ananas/,186.3,0.29,92.69,6.1,9.81,0.8500000000000001,97.38,5.5,0.06999999999999999,9.92,0.0,0.01
cocktail_4361,Caffè Al Limoncello,https://1ou2cocktails.com/cocktails/caffe-al-limoncello/,179.82,1.09,77.53,34.86,8.030000000000001,0.05,114.53,23.08,0.33,0.06,0.03,0.03
cocktail_4355,Cocktail Effervescent de Noël,https://1ou2cocktails.com/cocktails/cocktail-effervescent-de-noel/,186.85,0.13,38.62,2.53,4.340000000000001,0.27,43.66,5.15,0.02,2.98,0.0,0.0
cocktail_4293,Bourbon Smash Pêche et Prosciutto,https://1ou2cocktails.com/cocktails/bourbon-smash-peche-et-romarin/,224.26,0.11,58.22000000000001,2.31,3.7,0.26,37.70999999999999,3.61,0.02,2.98,0.0,0.0
cocktail_4349,Gin Fizz aux Bleuets,https://1ou2cocktails.com/cocktails/gin-fizz-aux-bleuets/,181.89,0.12,58.57,2.86,4.12,0.35,41.6,3.76,0.03,3.97,0.0,0.01
cocktail_4345,Amaretto Flip,https://1ou2cocktails.com/cocktails/amaretto-flip/,223.75,0.03,39.06,0.47,0.94,0.01,9.719999999999999,3.39,0.0,0.0,0.0,0.0
cocktail_4339,Scotch Old Fashioned,https://1ou2cocktails.com/cocktails/scotch-old-fashioned/,142.88,0.0,36.23,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0
cocktail_4314,Tom Collins à l'Épinette,https://1ou2cocktails.com/cocktails/tom-collins-a-lepinette/,181.89,0.12,58.57,2.86,4.12,0.35,41.6,3.76,0.03,3.97,0.0,0.01
cocktail_4330,Tuxedo Dress,https://1ou2cocktails.com/cocktails/tuxedo-dress/,173.52,0.03,59.08000000000001,2.16,2.19,0.0,15.74,5.89,0.0,0.0,0.0,0.0
cocktail_4321,Holiday French 75,https://1ou2cocktails.com/cocktails/holiday-french-75/,163.81,0.12,56.0,2.67,4.03,0.34,40.40000000000001,3.28,0.03,3.97,0.0,0.01
cocktail_4288,White Lady,https://1ou2cocktails.com/cocktails/white-lady/,229.79,0.11,57.45,2.31,3.7,0.26,37.28,4.46,0.02,2.98,0.0,0.0
cocktail_4271,Chai Whisky Chaud,https://1ou2cocktails.com/cocktails/chai-whisky-chaud/,346.88,0.21,123.74,5.21,7.09,0.61,72.36,5.35,0.05,6.95,0.0,0.01
cocktail_4266,Tequila Highball et Fleur de Sureau,https://1ou2cocktails.com/cocktails/tequila-highball-et-fleur-de-sureau/,130.54,0.03,18.89,0.28,0.85,0.01,8.51,2.34,0.0,0.0,0.0,0.0
cocktail_4259,Vermouth Soda Ambré,https://1ou2cocktails.com/cocktails/vermouth-soda-ambre/,69.73,0.05,50.27,4.39,4.61,0.0,33.6,10.05,0.0,0.0,0.0,0.0
cocktail_4252,Mocktail Pamplemousse et Gin S/A,https://1ou2cocktails.com/cocktails/mocktail-gin-pamplemousse-s-a/,186.3,0.3,103.36,7.15,10.8,0.8500000000000001,104.18,7.62,0.07,9.92,0.0,0.02
cocktail_4234,Gin Fizz Subversif,https://1ou2cocktails.com/cocktails/gin-fizz-subversif/,182.51,0.64,66.39999999999999,18.97,5.45,0.35,59.39,12.7,0.04,4.0,0.01,0.02
cocktail_4225,Mimosa Vent du Nord,https://1ou2cocktails.com/cocktails/mimosa-vent-du-nord/,222.99,0.2,73.24,3.83,6.52,0.51,64.57000000000001,5.08,0.04,5.95,0.0,0.01
cocktail_4130,Sour de Charlevoix,https://1ou2cocktails.com/cocktails/sour-de-charlevoix/,197.89,0.09,86.95,2.67,3.34,0.27,33.45,3.48,0.02,2.98,0.0,0.0
cocktail_4216,Daiquiri à l'Acerum,https://1ou2cocktails.com/cocktails/daiquiri-a-lacerum/,199.05,0.12,70.22,3.14,4.12,0.35,42.17,3.48,0.03,3.97,0.0,0.01
